"id","flowscore"
0,96.2034874885409
1,85.9662377412235
2,85.9892571621605
3,30.3668667641099
4,90.4544966101618
5,86.4137809252129
6,97.9436082671
7,85.1522585550952
8,89.5366077843092
9,91.9067609177066
10,96.1572169232183
11,97.1035002832835
12,69.1549154204607
13,94.2329182640347
14,55.8428802915349
15,98.6814103923814
16,88.7514580953588
17,95.7728511557413
18,69.0647588326524
19,95.1377607704317
20,92.4836104775121
21,98.9538427942468
22,86.729624638299
23,84.0746654826586
24,66.3698458160188
25,98.8043576018118
26,74.6509744923176
27,94.6493202633325
28,98.623253996346
29,96.137708797003
30,92.5718150150172
31,99.3456732933801
32,88.0776465379893
33,97.7148085096021
34,94.5047120507341
35,79.8573157354985
36,91.1404763938871
37,94.7882642534909
38,4.19648792533524
39,94.3028942908607
40,58.0724607732573
41,96.3843468579241
42,10.3651668048886
43,94.1925866645063
44,91.7025217442989
45,90.8335275426023
46,94.663897666559
47,91.3014511950057
48,91.4837659440458
49,53.9156741163981
50,93.3045240473091
51,90.6695920918441
52,98.3025075441411
53,97.9308829156752
54,10.0844820201872
55,1.98462811676144
56,96.2232390823723
57,63.9597743437797
58,81.6584214922493
59,90.04272010996
60,94.17628582174
61,94.4068115652634
62,94.040455161907
63,98.562934549523
64,96.9388905597908
65,69.9200458683008
66,38.2512559044046
67,95.8601761595911
68,81.7985085229258
69,92.8159817874642
70,98.9683545845206
71,98.4604344734852
72,86.9791189718327
73,85.0271728871073
74,99.323511066314
75,68.1151616548092
76,66.7806949699554
77,80.8519740694317
78,96.2681427302912
79,16.4148809626607
80,88.3598677428149
81,84.9553240968571
82,95.6807648415568
83,99.2444414517703
84,89.5574767646044
85,94.8304960025058
86,82.3933872387177
87,80.1360428482592
88,98.629241030911
89,81.1067762353224
90,61.4433825339103
91,97.8652031068097
92,89.9730760326668
93,47.9495916786365
94,99.1442435141172
95,96.7257200309418
96,81.7448749920805
97,82.0680779932267
98,82.8446448364368
99,94.5123861342983
100,95.246059661901
101,83.1903241909546
102,93.2181563691898
103,90.5652804829755
104,84.2182773808844
105,98.8321921453989
106,79.5955039707004
107,70.814827187045
108,94.4759323759202
109,21.9999014195909
110,93.6871182056745
111,81.8996512250853
112,96.8282612832489
113,95.4009600731419
114,96.6009114861134
115,93.5514720243776
116,97.3618631881457
117,95.3359905362992
118,79.1475067795467
119,94.6169705219633
120,81.8041674800676
121,14.010672998643
122,92.7456013130112
123,68.8855434137864
124,89.6453957054161
125,97.2099124567905
126,87.8345345649597
127,96.8867986016662
128,96.2298995561012
129,95.6239161480485
130,87.4132402244522
131,89.6518224463667
132,98.8013512398329
133,96.0117506241864
134,77.1347186495081
135,11.4166063277567
136,97.5034354734487
137,94.8851446982207
138,98.6997910071488
139,15.3296699818436
140,95.9395079745136
141,99.2161958926658
142,27.3715662355978
143,90.5364163727162
144,93.2248845796652
145,92.1622041307281
146,94.8228511024033
147,35.0459969018808
148,97.4313715230588
149,98.4054360364849
150,97.4151490410286
151,87.0141017824205
152,89.9142275385253
153,88.7521456051068
154,82.1341409067962
155,52.3652311546712
156,97.6936757775543
157,85.2489926689203
158,98.574916259201
159,94.8303631533181
160,96.3001631741634
161,94.8242231864711
162,96.4973127241864
163,94.4502248515981
164,85.466238225647
165,93.8974832791859
166,99.2744271349856
167,97.3097151642191
168,79.9440092310515
169,96.3890503511162
170,26.3128764750565
171,84.3149983671782
172,95.0474957116908
173,97.1556887732435
174,91.2920629359576
175,68.4540452916285
176,96.5309638084901
177,91.8686891400393
178,96.3037307127708
179,70.3166586390075
180,47.6240036839279
181,62.8905353734179
182,1.14936418737498
183,93.4898593582253
184,96.1139741801436
185,89.0616039732888
186,94.8544834559356
187,98.8959859130159
188,96.7576598362139
189,56.1290309411473
190,96.1270038082659
191,95.0205932413954
192,99.2646893587192
193,98.3064066487079
194,73.9147162305273
195,87.4110491358956
196,96.2257710373787
197,84.694153734002
198,94.1354220590947
199,76.4481724921655
200,99.2405761697985
201,93.6182279557065
202,98.040276878868
203,97.598521101517
204,80.3447503791
205,94.23301843475
206,25.5491013348508
207,94.2569882787041
208,96.0346612075797
209,98.4323116602293
210,96.3717150848837
211,93.6282702967001
212,98.5341848193565
213,97.8618136041399
214,97.3656605129226
215,30.9512628699703
216,94.188763042115
217,43.7448522729036
218,99.2811330633899
219,84.3668205130309
220,53.3283828589914
221,91.2660218201703
222,94.4905580935477
223,96.2964766288403
224,97.1003228491688
225,57.5568297232716
226,82.4464963406841
227,92.1224083726912
228,51.4167291745511
229,96.8854670613734
230,98.6573933020709
231,19.140418856338
232,37.5803369770253
233,85.320104074906
234,74.9451085200641
235,82.4122838830201
